,accuracy,precision_injection,recall_injection,f1_injection,fpr,fnr,tn,fp,fn,tp,auroc,pr_auc,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,eval_rows,unparsed_fail_closed
role-and-instruction-violation,0.9730130486358244,0.9182879377431906,0.979253112033195,0.9477911646586346,0.029068617757563774,0.02074688796680498,4910.0,147.0,35.0,1652.0,0.9951111566435463,0.9887542094496611,0.7053941908713693,0.941908713692946,0.977474807350326,6744.0,81.0
privilege-escalation,0.971637146960268,0.9079295154185022,0.9865964576352322,0.9456297315898142,0.03334928993138663,0.013403542364767831,6058.0,209.0,28.0,2061.0,0.9979430195917844,0.994554372249423,0.9061752034466252,0.9621828626136908,0.9880325514600288,8356.0,146.0
obfuscation-and-evasion-patterns,0.971375,0.9012233801540552,0.9945,0.9455669122890421,0.036333333333333336,0.0055,5782.0,218.0,11.0,1989.0,0.9985356666666667,0.9954603108903131,0.8465,0.9675,0.998,8000.0,198.0
