,accuracy,precision_injection,recall_injection,f1_injection,fpr,fnr,tn,fp,fn,tp
role-and-instruction-violation,0.7782927193900434,0.5826848249027238,0.3623714458560194,0.44684819097351736,0.08518665607625099,0.6376285541439807,4607.0,429.0,1054.0,599.0
privilege-escalation,0.7553218774044627,0.6153846153846154,0.22988505747126436,0.33472803347280333,0.05253940455341506,0.7701149425287356,5410.0,300.0,1608.0,480.0
obfuscation-and-evasion-patterns,0.7340471092077088,0.5367292225201072,0.5005,0.5179818887451487,0.17262737262737263,0.4995,4141.0,864.0,999.0,1001.0
