detector,threshold_for_1pct_fpr,fpr,recall_at_that_threshold
role-and-instruction-violation,1.357733130455017,0.009729944400317712,0.941318814277072
privilege-escalation,0.4532521367073059,0.009982486865148861,0.9612068965517241
obfuscation-and-evasion-patterns,1.655085563659668,0.007192807192807193,0.958
SYSTEM max-score,2.385512113571167,0.009967621103422005,0.9555826511060791
