true_category,role-and-instruction-violation,privilege-escalation,obfuscation-and-evasion-patterns,missed
role-and-instruction-violation,1622,16,2,13
privilege-escalation,1494,567,0,27
obfuscation-and-evasion-patterns,438,171,1388,3
