,auroc,pr_auc,acc_at_threshold_0,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05
role-and-instruction-violation (own test set),0.99515574974521,0.9886793255581755,0.9573927343399611,0.7090139140955838,0.941318814277072,0.9806412583182094
role-and-instruction-violation (combined set),0.9068390036278196,0.8523683209808965,0.8706030150753769,0.30674098589095977,0.5551297683330431,0.678279045462463
privilege-escalation (own test set),0.9980244043185647,0.9951190025626856,0.9784560143626571,0.9109195402298851,0.9612068965517241,0.9875478927203065
privilege-escalation (combined set),0.9532324106217943,0.909790795530616,0.9027545133072771,0.4331997909771817,0.6549381640829124,0.7406375195958892
obfuscation-and-evasion-patterns (own test set),0.9985891108891108,0.9962031412546327,0.9747323340471092,0.846,0.958,0.9985
obfuscation-and-evasion-patterns (combined set),0.9548875948310325,0.9196889952385462,0.9079657546994231,0.38878244208326074,0.6451837658944435,0.8353945305695872
SYSTEM max-score fusion (combined set),0.99629820867427,0.9905625961385287,0.9333705564861344,0.6106950008709284,0.9555826511060791,0.9871102595366661
