detector,scope,auroc,ci_low,ci_high
system_max_score,combined set,0.9962,0.9955,0.9967
baseline,combined set,0.734,0.7267,0.7415
adapter::role-and-instruction-violation,own test subset,0.995,0.9928,0.9965
adapter::privilege-escalation,own test subset,0.998,0.9974,0.9985
adapter::obfuscation-and-evasion-patterns,own test subset,0.9985,0.9981,0.9989
